,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
3521,ZA9,Limpopo,ZA936,Waterberg,2020-03-07,6402,2777,1641,614173731.3110133,119731180.480475,33159024,86.32464854732896,45.336688825799,232.55933191077168,336.7765996343693,3.9012797074954295,20200307,0.2870915348782833,0.6477210572390478,0.06518740788266879,0.5138960603357211,718513.0,0.00236898395721925,0.5576923076923077,1,0,0,1,0,0,0,0,0
3522,ZA5,KwaZulu-Natal,ZA523,Uthukela,2020-03-07,1904,825,518,290977608.8278213,60900704.43459315,10996689,96.25953256302522,73.05394463825606,349.0446017600616,353.8188223938224,3.675675675675676,20200307,0.36014331224838336,0.5864396074090654,0.05341708034255123,0.46782833191779016,652282.0,-0.19841226215644822,0.19230769230769232,1,0,0,1,0,0,0,0,0
3523,ZA5,KwaZulu-Natal,ZA543,Sisonke,2020-03-07,860,367,237,95016178.78242984,16418374.308462396,7035925,136.35513565891472,43.04601189302993,249.11525861550257,494.7907876230661,3.628691983122363,20200307,0.37293146983899067,0.5707096800166399,0.05635885014436937,0.4671305273563743,447117.0,-0.2112274881516588,0.17307692307692307,1,0,0,1,0,0,0,0,0
3524,ZA8,Mpumalanga,ZA830,Gert Sibande,2020-03-07,8316,3808,2136,786975510.3983064,171327458.89509964,40285061,80.7380571588905,49.83986301340865,228.9344153360393,314.3341214107366,3.893258426966292,20200307,0.30688245639051287,0.6412288994160756,0.05188864419341153,0.49968312815881616,1136106.0,-0.11248741610738255,0.36538461538461536,1,0,0,1,0,0,0,0,0
3525,ZA3,Nothern Cape,ZA307,Pixley ka Seme,2020-03-07,1148,564,327,189145583.1822082,37220080.01482549,8859245,128.61853948896632,70.72625533327549,359.41778754848485,451.5415392456677,3.510703363914373,20200307,0.3060749448635213,0.6232332132979509,0.0706918418385278,0.5011842246002923,196331.0,0.1854655172413793,0.75,1,0,0,1,0,0,0,0,0
3526,ZA6,North West,ZA637,Bojanala,2020-03-07,11860,5357,3437,1236684509.6767714,231835246.23949143,54982257,77.26567875210793,41.91322180927224,223.57873965647315,266.6194210066919,3.450683735816119,20200307,0.25082919250139085,0.6903465537718604,0.05882425372674875,0.5380589003726469,1786678.0,0.07430676328502415,0.6538461538461539,1,0,0,1,0,0,0,0,0
3527,ZA5,KwaZulu-Natal,ZA527,Umkhanyakude,2020-03-07,670,284,189,203568366.5779868,23165499.34355013,8137051,202.4142039800995,76.16070870833293,669.2672944040758,717.5529982363315,3.544973544973545,20200307,0.40017378652548197,0.5489306999026919,0.05089551357182606,0.4622270789873748,643318.0,-0.31784377542717657,0.038461538461538464,1,0,0,1,0,0,0,0,0
3528,ZA5,KwaZulu-Natal,ZA525,Amajuba,2020-03-07,2021,950,496,153100002.63271675,27657452.001077037,9910740,81.73132112815438,34.64827404063725,191.79824832143183,333.0221774193549,4.074596774193548,20200307,0.3311353387795859,0.6144200377537888,0.05444462346662529,0.48045773982507545,502731.0,-0.16864155251141552,0.25,1,0,0,1,0,0,0,0,0
3529,ZA2,Eastern Cape,ZA292,Buffalo City,2020-03-07,8034,3378,1787,637747146.8222288,101859162.44824438,31810509,65.99143017176998,35.41821444362724,221.75585056904663,296.6844711807499,4.495803021824287,20200307,0.254980022080858,0.6758306608485358,0.06918931707060617,0.48177934914042375,760840.0,0.09585175879396986,0.6923076923076923,1,0,0,1,0,0,0,0,0
3530,ZA2,Eastern Cape,ZA213,Chris Hani,2020-03-07,1358,619,353,150884371.81707665,31108634.752252515,7742635,95.02497545409916,54.7592336115663,265.5954731046972,365.5635033050047,3.847025495750709,20200307,0.334940582305372,0.572656560540376,0.09240285715425203,0.478383232498069,752217.0,-0.29251697892271666,0.057692307692307696,1,0,0,1,0,0,0,0,0
