,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
15430,ZA1,Western Cape,ZA105,Central Karoo,2020-10-18,141,92,77,53726205.78315017,14354179.29989086,2301144,272.0028368794326,115.83472084625512,433.55735768655023,498.0831168831169,1.8311688311688312,20201018,0.29415328297801036,0.633639246216906,0.07220747080508365,0.4979247763656518,77582.0,-0.12604477611940298,0.3269230769230769,1,1,1,0,1,0,0,0,0
15431,ZA2,Eastern Cape,ZA293,Nelson Mandela Bay,2020-10-18,5599,3142,2282,343442146.9112485,94362713.23424844,56812204,169.11413942966007,25.69424698734207,93.51667672690274,414.9299152789951,2.453549517966696,20201018,0.2465186661259611,0.6842154879637478,0.0692658459102911,0.4877654529777138,1230491.0,0.5740514018691588,0.9423076923076923,1,1,1,0,1,0,0,0,0
15432,ZA1,Western Cape,ZA191,City of Cape Town,2020-10-18,41823,21923,15750,2281138543.925968,596789230.629646,340565583,135.71702292996676,23.544611793698053,89.99579534589301,360.38686031746033,2.6554285714285712,20201018,0.23849582985172932,0.697186217784503,0.06431795236376775,0.4976008771049945,4436413.0,0.7687640750670242,0.9807692307692307,1,1,1,0,1,0,0,0,0
15433,ZA8,Mpumalanga,ZA832,Ehlanzeni,2020-10-18,4105,2220,1700,600491913.3514653,136649394.48439908,53351841,216.61323995127893,49.94705715840048,219.48728007533992,523.0572647058823,2.414705882352941,20201018,0.32438893780700045,0.6235217992770762,0.05208926291592337,0.47979089412028486,1837538.0,0.1315940928270042,0.7307692307692307,1,1,1,0,1,0,0,0,0
15434,ZA5,KwaZulu-Natal,ZA527,Umkhanyakude,2020-10-18,373,197,151,89700378.10254346,17013422.289558273,7068615,315.8451742627346,70.01093041125866,369.12073434249714,780.2003311258279,2.4701986754966887,20201018,0.40017378652548197,0.5489306999026919,0.05089551357182606,0.4622270789873748,643318.0,-0.31784377542717657,0.038461538461538464,1,1,1,0,1,0,0,0,0
15435,ZA7,Gauteng,ZA742,Sedibeng,2020-10-18,5622,3504,2633,349625459.1785326,119358718.79871984,53414881,158.35076781690978,28.16789570979158,82.50937653106348,338.11166603367514,2.135206988226358,20201018,0.24393339879416723,0.6953819961266214,0.06068460507921129,0.5059130831550246,994997.0,0.2808379746835443,0.8461538461538461,1,1,1,0,1,0,0,0,0
15436,ZA3,Nothern Cape,ZA309,Frances Baard,2020-10-18,1114,618,466,88168076.11269994,26948010.21667959,16038781,239.95782465589463,35.93286960678552,117.56459779274758,573.6330829756795,2.390557939914163,20201018,0.2860169290028057,0.6497360787483951,0.06424699224879928,0.49189928194398214,420580.0,0.29907801418439717,0.8846153846153846,1,1,1,0,1,0,0,0,0
15437,ZA1,Western Cape,ZA103,Overberg,2020-10-18,2336,1440,1106,425631607.8896353,100356510.85941444,23224843,165.70236158675797,56.38213815686555,239.1276850346077,349.9825647980712,2.112115732368897,20201018,0.22836513904770692,0.6721314716747349,0.09950338927755827,0.511077351980676,303457.0,0.051486772486772484,0.5961538461538461,1,1,1,0,1,0,0,0,0
15438,ZA3,Nothern Cape,ZA307,Pixley ka Seme,2020-10-18,533,333,238,99853207.4952655,29865506.42606129,7046633,220.3449968730457,77.97296359131708,260.69708651283617,493.4616946778712,2.239495798319328,20201018,0.3060749448635213,0.6232332132979509,0.0706918418385278,0.5011842246002923,196331.0,0.1854655172413793,0.75,1,1,1,0,1,0,0,0,0
15439,ZA5,KwaZulu-Natal,ZA525,Amajuba,2020-10-18,818,462,347,56549853.49006734,16586477.431878176,11163322,227.4515484922576,29.70132350681203,101.26354433420664,536.1826128722382,2.357348703170029,20201018,0.3311353387795859,0.6144200377537888,0.05444462346662529,0.48045773982507545,502731.0,-0.16864155251141552,0.25,1,1,1,0,1,0,0,0,0
