,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
17006,NG019,Kaduna,2020-01-22,938,415,266,46035524.62273214,9891607.659536868,9282297,23.10661670883597,107.53815345901585,164.93065031982945,581.5975563909775,3.526315789473684,20200122,0.46503701110532975,0.5075057258770135,0.027457263017656792,0.506968163107597,8758047.0,-0.1703334579739599,0.5135135135135135,
17007,NG030,Osun,2020-01-22,799,430,224,20290124.940498028,5503942.727810291,8690722,15.267818994578054,56.28437109340056,181.28331247392572,646.6311011904762,3.5669642857142856,20200122,0.36641836172583325,0.5944391290481575,0.03914250922600927,0.5059847910635072,4828740.0,0.0026606813370417975,0.6756756756756757,
17008,NG016,Gombe,2020-01-22,107,51,27,6420654.199124405,2307733.3152387617,955815,53.10959264650832,147.76331683902134,148.88084112149534,590.0092592592592,3.962962962962963,20200122,0.4747655452041227,0.4988770635927775,0.02635739120309983,0.5284934612057086,3392445.0,-0.25910296259332805,0.32432432432432434,
17009,NG006,Bayelsa,2020-01-22,148,75,59,14166440.918032035,2548572.867110408,2068359,26.84084340576465,149.19692005080202,232.9233108108108,584.2822033898304,2.5084745762711864,20200122,0.37835323397591747,0.5884318304151591,0.03321493560892341,0.5125803164505587,2537774.0,-0.10448904236851947,0.6216216216216216,
17010,NG012,Edo,2020-01-22,1516,650,409,58665812.39115964,12526918.444178931,15204607,19.03145782082961,89.12774031556633,167.15706904133685,619.5846373268134,3.706601466992665,20200122,0.3648963025856633,0.5925314188027963,0.04257227861154045,0.5050509097282766,4393070.0,0.048192548470072316,0.7027027027027027,
17011,NG013,Ekiti,2020-01-22,321,171,97,11548450.331190802,3559417.0166165293,3472500,22.801228817369765,73.97808609057384,180.29595015576325,596.6494845360825,3.309278350515464,20200122,0.36629979561099096,0.5964268380769661,0.037273366312043005,0.5043048153321379,3510952.0,-0.12374139344950484,0.5945945945945946,
17012,NG021,Katsina,2020-01-22,131,59,43,7087654.669494402,1420512.4331992895,1636858,20.52710474895346,102.42010307326149,208.25165394402035,634.4410852713178,3.046511627906977,20200122,0.48655803853244695,0.4881893734794351,0.02525258798811795,0.509826765221673,8050462.0,-0.4045410794272394,0.16216216216216217,
17013,NG003,Akwa Ibom,2020-01-22,392,170,109,19122085.690985475,3531872.823258856,3382535,20.133981899256824,109.00837783368904,143.8152636054422,517.2071865443426,3.596330275229358,20200122,0.3714473458477974,0.5933145115115984,0.03523814264060416,0.5077076983792477,5665764.0,0.18670347513092306,0.8918918918918919,
17014,NG002,Adamawa,2020-01-22,162,83,51,6302122.090015783,1336540.196571645,1882979,16.284070106212624,76.78347287643815,193.7221193415638,615.3526143790849,3.176470588235294,20200122,0.4474419886826158,0.5186029019248742,0.03395510939250998,0.5068342598449392,4396599.0,-0.25839416341831756,0.35135135135135137,
17015,NG015,Federal Capital Territory,2020-01-22,7664,3089,1896,584190761.299242,105478355.17696136,51775435,34.568149425918484,191.45533219543552,112.59445676757132,455.1286480309424,4.042194092827004,20200122,0.3761808011877354,0.6090082893686061,0.014810909443658583,0.5320270119615359,4834747.0,0.06716322463290017,0.7567567567567568,
17016,NG022,Kebbi,2020-01-22,51,29,20,3044960.842651955,855306.3892450029,764526,26.573137540668835,94.60254745573212,249.84509803921569,637.105,2.55,20200122,0.4855904279683244,0.48801456343612665,0.026395008595548938,0.5032996532071795,4510474.0,-0.4166000362854463,0.13513513513513514,
17017,NG001,Abia,2020-01-22,317,123,84,10540463.523237163,2696995.32787741,2923248,19.950419075496495,77.97071888295247,153.69337539432178,580.0095238095238,3.773809523809524,20200122,0.3534586567540875,0.5993948920037422,0.0471464512421703,0.5005799209430734,3878977.0,0.40455051037529577,0.918918918918919,
17018,NG025,Lagos,2020-01-22,25159,10494,6756,1071320705.5592612,205716450.58250853,206575544,18.92040795756156,98.53283364148903,136.84668442041948,509.61008486283794,3.723949082297217,20200122,0.3302008890738382,0.6447111961662807,0.025087914759881112,0.5212037107602719,14879754.0,1.1187153694407612,1.0,
17019,NG034,Sokoto,2020-01-22,156,55,44,17311412.676896784,1555882.4469013778,1521699,21.972284795732943,244.4730257808148,162.57467948717948,576.4011363636364,3.5454545454545454,20200122,0.476871893107996,0.4955998750778277,0.02752823181417628,0.505624481563039,5027130.0,-0.3255636908120886,0.2702702702702703,
17020,NG029,Ondo,2020-01-22,503,238,151,28983622.956090856,6222343.756906986,5712928,25.60519972675381,119.26879703035456,189.29516235917828,630.5660044150111,3.331125827814569,20200122,0.37893516274736494,0.5832181604477588,0.03784667680487627,0.5035690220992856,4673409.0,-0.23320407133660132,0.3783783783783784,
17021,NG031,Oyo,2020-01-22,2311,1110,637,86571705.62740338,18757507.701051984,23126042,18.29729187378908,84.44766709532048,166.78235972883311,605.0769754055468,3.6279434850863423,20200122,0.37711239812688285,0.5836282165130016,0.039259385360115584,0.5019705838533485,8470586.0,-0.019245055859069864,0.6486486486486487,
17022,NG020,Kano,2020-01-22,1177,521,331,64749384.16295564,11935835.46697252,11089683,22.40659913734553,121.55106354673384,157.03317757009344,558.3929003021148,3.5558912386706947,20200122,0.4727684792901625,0.5011033541407554,0.026128166569082133,0.5280232410357527,13612130.0,0.1241609281772341,0.8378378378378378,
17023,NG017,Imo,2020-01-22,599,252,180,32866542.154203072,6032684.477014583,5942391,20.82520192152338,113.45734712819863,165.34198664440734,550.2213888888889,3.327777777777778,20200122,0.36002907241370796,0.5951188700839131,0.044852057502378986,0.5015110336551765,5547527.0,0.5387774131767987,0.972972972972973,
17024,NG027,Niger,2020-01-22,266,133,96,11283526.82290208,2330520.835802227,2813806,15.084567815378934,73.03394286029794,176.30363408521305,488.5079861111111,2.770833333333333,20200122,0.471202827926769,0.5035993963032889,0.025197775769942192,0.5093248027202903,5745269.0,-0.2021904684270313,0.4594594594594595,
17025,NG035,Taraba,2020-01-22,139,50,26,2433743.2923505646,540822.8090750418,781042,12.925065910157798,58.16376812182634,93.65011990407676,500.6679487179487,5.346153846153846,20200122,0.4572416308140842,0.515646300036468,0.027112069149447745,0.5130515216955309,3046503.0,-0.3693491920970492,0.21621621621621623,
17026,NG018,Jigawa,2020-01-22,43,20,15,2133289.001157037,357217.4815458172,596103,14.79764349307615,88.37095533571596,231.04767441860463,662.3366666666666,2.8666666666666667,20200122,0.4759832686855246,0.4966159109599566,0.02740082035451879,0.505479893884154,5921830.0,-0.49549208851903037,0.05405405405405406,
17027,NG008,Borno,2020-01-22,468,194,125,29750268.323347434,6794270.923964903,3884895,33.77411379526019,147.88767757967187,138.35096153846152,517.986,3.744,20200122,0.4656333169168363,0.5077319274989265,0.026634755584237252,0.5216485478678367,6594992.0,-0.21159417396202837,0.40540540540540543,
