,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
20572,ZA9,Limpopo,ZA7,Gauteng,2021-04-02,2021-04-08,3,3,3,1297613.707041894,591230.927589471,1432173,20210402,20210408,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,21.0,451.0,1,1,1
20573,ZA1,Western Cape,ZA3,Nothern Cape,2021-04-02,2021-04-02,55,55,55,63569342.56348147,24532892.665395696,1382781,20210402,20210402,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.48495156727992644,0.8888888888888888,0.09958456723393624,0.6666666666666666,162.0,130.0,1,1,1
20574,ZA1,Western Cape,ZA1,Western Cape,2021-04-02,2021-04-21,1,1,1,174767.89460430364,87338.4626570015,1599599,20210402,20210421,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,162.0,150.0,1,1,1
20575,ZA8,Mpumalanga,ZA8,Mpumalanga,2021-04-02,2021-04-06,5,5,5,1874893.613472249,506851.5273068114,1739230,20210402,20210406,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,125.0,36.0,1,1,1
20576,ZA7,Gauteng,ZA6,North West,2021-04-02,2021-04-03,55,55,55,8810831.844161408,3852542.352239303,2263122,20210402,20210403,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,415.0,34.0,1,1,1
20577,ZA6,North West,ZA9,Limpopo,2021-04-02,2021-04-03,9,9,9,1976703.3683263748,909573.7514856858,316430,20210402,20210403,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.04677388157695324,0.1111111111111111,-0.020299216875639643,0.3333333333333333,137.0,18.0,1,1,1
20578,ZA7,Gauteng,ZA9,Limpopo,2021-04-02,2021-04-02,741,740,739,354496813.8296651,167197365.52135104,13573541,20210402,20210402,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,415.0,21.0,1,1,1
20579,ZA1,Western Cape,ZA4,Free State,2021-04-02,2021-04-20,1,1,1,895020.3852234441,895017.9828462328,1578908,20210402,20210420,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.48495156727992644,0.8888888888888888,0.2248492570676798,0.7777777777777778,162.0,132.0,1,1,1
20580,ZA9,Limpopo,ZA9,Limpopo,2021-04-02,2021-04-05,10,10,10,1798648.6436020064,249582.5382470649,2311201,20210402,20210405,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,21.0,11.0,1,1,1
20581,ZA5,KwaZulu-Natal,ZA8,Mpumalanga,2021-04-02,2021-04-03,4,4,4,1216265.3836517276,646837.2724768299,191253,20210402,20210403,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.07735186107982292,0.5555555555555556,0.0523010419666447,0.4444444444444444,133.0,102.0,1,1,1
