,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
44688,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-06-11,2020-06-19,1,1,1,938329.0660411333,129043.1399044492,641029,80.18368969247669,583.050650476923,10683.816666666668,10683.816666666668,1.0,20200611,20200619,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,125.0,188.0,1,1,3,0,0,0,1,0,0
44689,ZA5,KwaZulu-Natal,ZA7,Gauteng,2020-06-11,2020-06-18,1,1,1,2221100.271904852,503310.50489902345,630453,312.74264849468074,1380.127724032184,10507.55,10507.55,1.0,20200611,20200618,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.07735186107982292,0.5555555555555556,0.6706237180439658,1.0,125.0,1278.0,1,1,3,0,0,0,1,0,0
44690,ZA5,KwaZulu-Natal,,,2020-06-11,2020-06-12,2,2,2,2417123.6257989835,264143.23858131457,197068,82.065499539351,750.965494573871,1642.2333333333331,1642.2333333333331,1.0,20200611,20200612,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,125.0,,1,1,3,0,0,0,1,0,0
44691,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-06-11,2020-06-20,1,1,1,106381.30168260624,106340.13322267466,785956,66.07669536325028,66.10227625828055,13099.266666666666,13099.266666666666,1.0,20200611,20200620,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,7.0,14.0,1,1,3,0,0,0,1,0,0
44693,ZA2,Eastern Cape,ZA1,Western Cape,2020-06-11,2020-06-20,2,2,2,4178118.8165176506,1322572.8804090996,1488842,410.9043437602836,1298.0813351644056,12407.016666666666,12407.016666666666,1.0,20200611,20200620,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04666754827373582,0.2222222222222222,0.48495156727992644,0.8888888888888888,714.0,1467.0,1,1,3,0,0,0,1,0,0
44694,ZA7,Gauteng,ZA1,Western Cape,2020-06-11,2020-06-18,1,1,1,2519516.335336599,1259758.1676682995,570240,782.7774345747705,1565.554869149541,9504.0,9504.0,1.0,20200611,20200618,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,758.0,967.0,1,1,3,0,0,0,1,0,0
44695,ZA7,Gauteng,ZA1,Western Cape,2020-06-11,2020-06-13,2,2,2,3800959.5237233937,2521003.251688009,351572,783.239398067787,1180.9033754509271,2929.766666666667,2929.766666666667,1.0,20200611,20200613,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,758.0,1679.0,1,1,3,0,0,0,1,0,0
44696,ZA2,Eastern Cape,ZA3,Nothern Cape,2020-06-11,2020-06-12,1,1,1,1675474.39494593,419013.7402897838,25641,260.3630673676876,1041.0915223506784,427.35,427.35,1.0,20200611,20200612,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04666754827373582,0.2222222222222222,0.09958456723393624,0.6666666666666666,714.0,6.0,1,1,3,0,0,0,1,0,0
44697,ZA7,Gauteng,ZA7,Gauteng,2020-06-11,2020-06-26,3,3,3,1752126.7784331292,1074813.023522147,3886282,222.61928328605669,362.9070350886509,21590.455555555556,21590.455555555556,1.0,20200611,20200626,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,758.0,2598.0,1,1,3,0,0,0,1,0,0
44698,ZA2,Eastern Cape,ZA5,KwaZulu-Natal,2020-06-11,2020-06-14,1,1,1,424469.93886288535,424469.93886288535,247262,263.7533919801393,263.7533919801393,4121.033333333334,4121.033333333334,1.0,20200611,20200614,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04666754827373582,0.2222222222222222,0.07735186107982292,0.5555555555555556,714.0,111.0,1,1,3,0,0,0,1,0,0
44699,ZA1,Western Cape,ZA2,Eastern Cape,2020-06-11,2020-06-16,1,1,1,1324386.9177434265,662057.7382289448,487852,411.38360613327217,822.9358780617607,8130.866666666667,8130.866666666667,1.0,20200611,20200616,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,1401.0,442.0,1,1,3,0,0,0,1,0,0
