,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
110170,ZA1,Western Cape,ZA2,Eastern Cape,2020-12-28,2020-12-28,144,144,144,134632211.8299603,40912013.64788829,2897149,20201228,20201228,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,2195.0,390.0,1,1,1,0,1,0,0,0,0
110171,ZA9,Limpopo,ZA2,Eastern Cape,2020-12-28,2020-12-28,1,1,1,4019041.712151565,2657615.9030918186,23312,20201228,20201228,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.020299216875639643,0.3333333333333333,-0.04666754827373582,0.2222222222222222,191.0,390.0,1,1,1,0,1,0,0,0,0
110172,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-12-28,2020-12-28,10456,5163,3820,929492399.1033764,150029231.25547296,67933003,20201228,20201228,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,242.0,242.0,1,1,1,0,1,0,0,0,0
110173,ZA6,North West,ZA1,Western Cape,2020-12-28,2020-12-28,4,4,4,9607020.447874358,5198768.146250512,88799,20201228,20201228,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04677388157695324,0.1111111111111111,0.48495156727992644,0.8888888888888888,133.0,2195.0,1,1,1,0,1,0,0,0,0
110174,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-12-28,2020-12-31,9,9,9,1877356.434374956,607742.1112945025,2393165,20201228,20201231,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,390.0,1324.0,1,1,1,0,1,0,0,0,0
110175,ZA1,Western Cape,ZA7,Gauteng,2020-12-28,2020-12-28,109,109,109,245653955.1435084,131786411.6415906,3064490,20201228,20201228,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.48495156727992644,0.8888888888888888,0.6706237180439658,1.0,2195.0,1861.0,1,1,1,0,1,0,0,0,0
110176,ZA3,Nothern Cape,ZA3,Nothern Cape,2020-12-28,2020-12-31,1,1,1,677902.7276836251,2048.0258101536533,222353,20201228,20201231,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.09958456723393624,0.6666666666666666,0.09958456723393624,0.6666666666666666,50.0,150.0,1,1,1,0,1,0,0,0,0
110177,ZA8,Mpumalanga,ZA7,Gauteng,2020-12-28,2020-12-29,42,42,42,16048950.539795568,6543265.92304202,1878050,20201228,20201229,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,242.0,2383.0,1,1,1,0,1,0,0,0,0
110178,ZA7,Gauteng,ZA2,Eastern Cape,2020-12-28,2020-12-30,1,1,1,725061.9627945446,715693.9264451734,191224,20201228,20201230,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,1861.0,1273.0,1,1,1,0,1,0,0,0,0
110179,ZA7,Gauteng,ZA2,Eastern Cape,2020-12-28,2020-12-29,9,9,9,11409732.495966911,8888698.370184215,757428,20201228,20201229,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.6706237180439658,1.0,-0.04666754827373582,0.2222222222222222,1861.0,851.0,1,1,1,0,1,0,0,0,0
110180,ZA7,Gauteng,ZA6,North West,2020-12-28,2020-12-29,40,40,40,5474304.367678498,2946644.252985124,1774412,20201228,20201229,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,1861.0,284.0,1,1,1,0,1,0,0,0,0
110181,ZA5,KwaZulu-Natal,ZA7,Gauteng,2020-12-28,2020-12-28,233,233,233,231121256.9669685,116512801.67270118,6566055,20201228,20201228,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.07735186107982292,0.5555555555555556,0.6706237180439658,1.0,2293.0,1861.0,1,1,1,0,1,0,0,0,0
110182,ZA8,Mpumalanga,ZA9,Limpopo,2020-12-28,2020-12-28,136,135,130,42851614.91326738,13907871.231659863,1941695,20201228,20201228,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,242.0,191.0,1,1,1,0,1,0,0,0,0
110183,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-12-28,2020-12-29,1223,1222,1220,124686911.35508364,15165187.888970405,52064763,20201228,20201229,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,390.0,851.0,1,1,1,0,1,0,0,0,0
110184,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-12-28,2020-12-30,14,14,14,6695614.135493915,1565902.73978355,2397877,20201228,20201230,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,242.0,648.0,1,1,1,0,1,0,0,0,0
110185,ZA6,North West,ZA3,Nothern Cape,2020-12-28,2020-12-28,39,39,39,27566566.798673883,8616513.194720445,734954,20201228,20201228,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04677388157695324,0.1111111111111111,0.09958456723393624,0.6666666666666666,133.0,50.0,1,1,1,0,1,0,0,0,0
